연도,동해,남해,서해,
2000,16.8,19.0,15.1,
2001,18.0,19.2,15.5,
2002,16.6,18.9,15.4,
2003,17.0,18.9,14.6,
2004,17.5,19.5,15.8,
2005,16.8,19.5,15.3,
2006,16.5,19.3,15.6,
2007,17.5,19.4,16.0,
2008,17.7,19.4,15.6,
2009,16.9,19.6,16.3,
2010,16.9,18.8,15.5,
2011,16.8,18.4,14.1,
2012,16.9,18.6,15.5,
2013,17.4,18.6,15.3,
2014,17.3,18.6,15.2,
2015,16.7,18.6,15.5,
2016,18.2,19.6,15.9,
2017,17.6,19.3,14.7,
2018,16.5,18.8,15.5,
2019,18.4,19.4,15.1,
2020,17.8,19.2,15.3,
2021,18.6,19.3,16.1,
